Rocket,Launch,Mach Number,Pitch (deg),Roll (deg),drag_x (N),drag_y (N),drag_z (N),Total Drag (N),C_D_x,C_D_y,C_D_z,Total C_D
athena,westmar,0.25,9,0,40.68682,3.3231055,116.45272,123.401,0.041,0.003,0.117,0.124
athena,westmar,0.55,9,0,187.87253,13.690748,577.17556,607.137,0.188,0.014,0.578,0.608
athena,westmar,0.3,9,0,57.974125,4.6127436,168.06334,177.841,0.058,0.005,0.169,0.179
athena,westmar,0.4,9,0,101.28801,7.6259787,300.67439,317.368,0.102,0.008,0.301,0.318
athena,westmar,0.25,0,0,37.288753,0.080543133,0.37792455,37.291,0.037,0.0,0.0,0.037
athena,westmar,0.6,5,0,218.56415,2.6936251,375.05439,434.101,0.219,0.003,0.376,0.435
athena,westmar,0.55,0,0,174.47969,0.49671235,1.7181833,174.489,0.175,0.0,0.002,0.175
athena,westmar,0.1,5,0,-22.896373,-23.563897,-4.1244286,33.114,-0.023,-0.024,-0.004,0.033
athena,westmar,0.2,1,0,24.187716,0.084638919,8.4567768,25.624,0.024,0.0,0.008,0.025
athena,westmar,0.65,4,0,252.97092,1.8570976,355.92012,436.666,0.253,0.002,0.356,0.437
athena,westmar,0.5,1,0,145.26555,0.64800897,53.781459,154.903,0.146,0.001,0.054,0.156
athena,westmar,0.15,4,0,14.452272,0.21981561,19.215838,24.045,0.015,0.0,0.019,0.024
athena,westmar,0.3,2,0,54.219076,0.2354414,37.633437,66.0,0.054,0.0,0.038,0.066
athena,westmar,0.4,2,0,95.126525,0.44001192,67.284278,116.518,0.095,0.0,0.067,0.116
athena,westmar,0.35,3,0,74.418212,0.43217817,75.809406,106.232,0.075,0.0,0.076,0.107
athena,westmar,0.45,3,0,121.52038,0.81397747,126.12295,175.142,0.122,0.001,0.126,0.175
athena,westmar,0.55,15,0,184.39717,80.895346,979.69538,1000.175,0.185,0.081,0.981,1.002
